strategy,ann_return,ann_volatility,sharpe,max_drawdown,calmar,win_rate,cum_return,n_months
Benchmark,0.16080263086846577,0.2176486203772595,0.7388175977855491,-0.24621772124635277,0.6530912155895349,0.5873015873015873,1.047148121025756,63
S6_去BP化,0.13046043788367256,0.2110503557051905,0.618148391400527,-0.2916790547275354,0.4472739326638962,0.5396825396825397,0.7675640601758758,63
S1_纯价值,0.1205512076609744,0.20782536307600813,0.5800601325877877,-0.3205726259031675,0.3760495997477596,0.5555555555555556,0.6837326583552492,63
S4_全因子等权,0.10919342851669982,0.209711707968526,0.5206835115428453,-0.30118813798775257,0.36254226094767394,0.5555555555555556,0.5844473761590459,63
S5_全因子ICIR,0.09630695288093484,0.20590562467446338,0.46772375952913403,-0.3009333497158285,0.32002751762766585,0.5555555555555556,0.48736554518040975,63
S3_纯质量,0.09929793076477161,0.23843801437434378,0.4164517601160505,-0.3854001482860514,0.2576489168630801,0.5873015873015873,0.4523393673192704,63
