date,return,gross_return,turnover,n_selected,cum_return
2021-01-29,0.06052267635858471,0.0665226763585847,1.0,30,1.0605226763585847
2021-02-26,0.04052978304329962,0.043220774108736315,0.44849851090611537,30,1.1035054303438976
2021-03-31,0.0003802536815062903,0.003651828837590753,0.5452625260140771,30,1.103925042346348
2021-04-30,0.03823375578111198,0.04223877955314408,0.6675039620053502,29,1.1461322428160718
2021-05-31,-0.023706273005542056,-0.022015210819468292,0.28184369767896084,29,1.11896171896742
2021-06-30,-0.030846506546377158,-0.029667934639390027,0.1964286511645216,29,1.084445658978146
2021-07-30,0.040435303252895835,0.04232046402969777,0.314193462800322,29,1.1282955480602137
2021-08-31,0.006540673590450614,0.009032272932089119,0.4152665569397507,27,1.135675360953634
2021-09-30,-0.007389951294854588,-0.006054892036982153,0.22250987631207259,27,1.1272827753494203
2021-10-29,-0.021037031590676634,-0.019104829916410295,0.3220336123777229,28,1.103568091992769
2021-11-30,0.02839349617530255,0.029079165833231797,0.11427827632154079,28,1.1349022483919518
2021-12-31,-0.012644677691262578,-0.012440052589591855,0.03410418361178734,29,1.1205517752499463
2022-01-28,0.009075046742520732,0.009335753962052237,0.04345120325525071,27,1.1307208349877542
2022-02-28,-0.00968483930406955,-0.00874423638155627,0.15676715375221328,29,1.1197699854031344
2022-03-31,0.010358304739924587,0.011738304739924588,0.2300000000000001,28,1.131368904150561
2022-04-29,-0.012744618735299265,-0.011248151738928928,0.24941116606172295,28,1.1169500388181888
2022-05-31,0.035036357406863596,0.0371963574068636,0.36,29,1.156083899583833
2022-06-30,-0.020707498384691148,-0.02051778472593123,0.03161894312665305,28,1.1321442941006334
2022-07-29,0.009036630218840044,0.009808851889712882,0.1287036118121396,29,1.1423750634407905
2022-08-31,-0.026852065239155586,-0.02506301752295489,0.2981746193667827,29,1.111699933709694
2022-09-30,-0.03683771108335665,-0.03587522185841791,0.16041487082312295,30,1.0707474527403096
2022-10-31,0.10146891029161775,0.10385053273811698,0.39693707441653747,30,1.1793950299673943
2022-11-30,-0.011100810202638084,-0.009895932081359509,0.20081302021309574,30,1.1663027895857916
2022-12-30,0.01794527487160569,0.019205274871605692,0.21000000000000008,29,1.1872324137284291
2023-01-31,0.006161995789098904,0.006821995789098906,0.11000000000000025,29,1.1945481348625053
2023-02-28,0.052021277975437756,0.05231617042016441,0.049148740787775674,30,1.2566900554412284
2023-03-31,0.07636052125858074,0.07894440239810781,0.4306468565878452,29,1.3526515631351952
2023-04-28,0.020573752959765206,0.02345613984937177,0.4803978149344274,30,1.380480682235779
2023-05-31,0.024513201298815734,0.026493201298815734,0.3300000000000001,30,1.4143206830885509
2023-06-30,0.06504484815842317,0.06588460558077164,0.13995957039141313,28,1.5063149571673629
2023-07-31,-0.051239097905811874,-0.04931486253787049,0.32070589465689736,30,1.4291327376000755
2023-08-31,0.021588497780515928,0.024320139648278963,0.4552736446271727,29,1.4599855665338173
2023-09-28,-0.0057004095715391355,-0.005032289734516889,0.1113533061703745,30,1.4516630508360389
2023-10-31,-0.003496359417238182,-0.0012142102045140978,0.38035820212068067,30,1.4465875150575915
2023-11-30,0.004129997148754517,0.005740435384803448,0.26840637267482187,30,1.4525619173702033
2023-12-29,0.030657030992864466,0.03165618595586582,0.16652582716689213,30,1.4970931530900762
2024-01-31,0.057392632147265456,0.05920368707275992,0.30184248758241106,30,1.5830152697155648
2024-02-29,0.01128011161466358,0.01301868982561107,0.28976303515791524,30,1.600871858645673
2024-03-29,0.01891000869328537,0.020705965576405395,0.29932614718667094,30,1.6311443594094985
2024-04-30,0.028226318431920378,0.03178434489020049,0.5930044097133516,30,1.677185559506622
2024-05-31,-0.021291592275251993,-0.02043596964729675,0.1426037713258739,30,1.6414756084036666
2024-06-28,0.04148293670810209,0.04251749386346182,0.17242619255995517,30,1.709568837174969
2024-07-31,-0.018856718284186603,-0.01799334476859867,0.14389558593132212,30,1.6773319792249364
2024-08-30,0.16826251226311784,0.1708515237727406,0.4315019182704626,30,1.9595640719485918
2024-09-30,-0.037238178773468175,-0.034687092198819665,0.42518109577475127,29,1.886593474719305
2024-10-31,0.03755855674181977,0.040626335570490765,0.5112964714451654,29,1.9574512027882969
2024-11-29,0.04699951581950247,0.04826948678537874,0.21166182764604544,28,2.0494504615596494
2024-12-31,-0.04654156223381511,-0.04474623620033262,0.2992210055804148,29,1.95406583535785
2025-01-27,-0.006291065003911996,-0.005478466861782156,0.13543302368830673,29,1.9417726801656903
2025-02-28,-0.010350784269542012,-0.01019808000486564,0.025450710779395393,29,1.9216738100528048
2025-03-31,-0.005615394979408931,-0.00478149100386329,0.13898399592427352,29,1.9108828525877728
2025-04-30,0.04201305587727654,0.04736270762079256,0.8916086239193375,30,1.9911648806484723
2025-05-30,0.042248616539488366,0.042741299005302165,0.08211374430230023,29,2.0752888421578857
2025-06-30,-0.005553458984433549,-0.004934637133519023,0.1031369751524211,29,2.0637638106921092
2025-07-31,-0.013392039031193645,-0.013105593686736021,0.047740890742937206,28,2.0361258051881554
2025-08-29,-0.04030589229940865,-0.038265892299408646,0.34,30,1.954057937776195
2025-09-30,0.03028006795636391,0.0326481323978527,0.39467740691479813,30,2.0132269449227307
2025-10-31,0.024013111099673745,0.026038276896983164,0.3375276328849032,30,2.061570787220017
2025-11-28,0.019933174264094522,0.021121096156534323,0.19798698207330012,30,2.10266443697944
2025-12-31,-0.01920085964198711,-0.017846097389922322,0.22579370867746465,29,2.0622914722508
2026-01-30,-5.2127886971951084e-05,0.0017524723319809095,0.3007667031588101,29,2.0621839693540314
2026-02-27,-0.01781586364649461,-0.01667292585622109,0.19048963171225344,29,2.025444380942033
2026-03-31,-0.005553204759035514,-0.003425585935648694,0.3546031372311367,29,2.014196673566624
2026-04-30,-0.038661247666128135,-0.03414789285926227,0.75222580114431,29,1.9363253171215733
