code,cluster,name,industry,close,score,weight
601668,价值防御,中国建筑,E48土木工程建筑业,4.76,0.22711632889763966,0.13601011044829647
601669,价值防御,中国电建,E48土木工程建筑业,5.43,0.22023859901619505,0.1320119130544647
601318,价值防御,中国平安,J68保险业,54.27,0.220180221089666,0.13197797649723883
300302,成长进攻,同有科技,I65软件和信息技术服务业,45.6,0.42877457062495083,0.10000000000000002
603778,成长进攻,国晟科技,C38电气机械和器材制造业,19.35,0.37190482785609913,0.09999999999999998
002213,成长进攻,大为股份,C39计算机、通信和其他电子设备制造业,37.24,0.3565814060792763,0.10000000000000002
688409,成长进攻,富创精密,C34通用设备制造业,164.0,0.3364866837041285,0.10000000000000002
600690,质量均衡,海尔智家,C38电气机械和器材制造业,20.22,0.32817315136859543,0.09999999999999998
601012,质量均衡,隆基绿能,C38电气机械和器材制造业,14.6,0.31237388577732905,0.09999999999999998
